,Phrase,Category,Score
1936,оговаривать,Общеэкономическое,0.0
1937,оговорка,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
1938,оговорка,Маркетинг и реклама,-1.0
1939,оговорка,Общеэкономическое,-1.0
1940,ограничение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
1941,ограничение,Общеэкономическое,-1.0
1942,ограничение на экспорт,"Международная экономика, торговля и финансы",-1.0
1943,ограничивать,Общеэкономическое,-1.0
1944,ограничитель,Общеэкономическое,-1.0
1945,ограничительно,Общеэкономическое,-1.0
1946,однозначность,Общеэкономическое,1.0
1947,однородная продуция,"Международная экономика, торговля и финансы",0.0
1948,однородная продуция,Потребление и розничная торговля,0.0
1949,однородная продуция,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
1950,одобрение,Общеэкономическое,1.0
1951,одобрение крупной сделки,Фондовые и товарные рынки,1.0
1952,одобрение крупной сделки,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
1953,одобрение совета директоров,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
1954,одобрительный,Общеэкономическое,1.0
1955,одобрять,Общеэкономическое,1.0
1956,одобрять решение,Общеэкономическое,1.0
1957,ожидание инвесторов,Фондовые и товарные рынки,0.0
1958,озеленение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
1959,оказание услуг,Общеэкономическое,0.0
1960,оклеветать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
1961,окончательно,Общеэкономическое,0.0
1962,окружающая среда,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
1963,окружающий,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
1964,окупаемость,"Международная экономика, торговля и финансы",0.0
1965,окупаемость,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
1966,окупаемость,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1967,окупаемость,"Монетарная политика, валюта, деньги и кредит, банки",0.0
1968,окупаемость,Фондовые и товарные рынки,0.0
1969,омрачать,Общеэкономическое,-1.0
1970,онлайн,Инновации,1.0
1971,опасно,Общеэкономическое,-1.0
1972,опасно,"Государственные финансы, бюджет и налоги",-1.0
1973,опасность,Общеэкономическое,-1.0
1974,опасность,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
1975,опасность,"Государственные финансы, бюджет и налоги",-1.0
1976,опасные отходы,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
1977,опасный,Общеэкономическое,-1.0
1978,операционная деятельность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1979,операционные затраты,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1980,операционный,"Монетарная политика, валюта, деньги и кредит, банки",0.0
1981,операционный,"Международная экономика, торговля и финансы",0.0
1982,операционный,"Государственные финансы, бюджет и налоги",0.0
1983,операционный,Фондовые и товарные рынки,0.0
1984,операционный,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
1985,операционный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1986,операционный ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1987,операционный доход,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1988,операционный расход,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
1989,операционный расход,"Международная экономика, торговля и финансы",0.0
1990,операция,"Монетарная политика, валюта, деньги и кредит, банки",0.0
1991,операция по кредиту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
1992,оплата,"Международная экономика, торговля и финансы",0.0
1993,оплата труда,Общеэкономическое,0.0
1994,оплата труда,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
1995,оплаченный,Общеэкономическое,1.0
1996,оплошность,Общеэкономическое,-1.0
1997,оповещение,Общеэкономическое,0.0
1998,опозоренный,Общеэкономическое,-2.0
1999,опозоренный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
2000,опозоренный,Маркетинг и реклама,-2.0
2001,оппозиция,"Государственные финансы, бюджет и налоги",-1.0
2002,оппозиция,Общеэкономическое,-1.0
2003,оппортунизм,"Государственные финансы, бюджет и налоги",-1.0
2004,оппортунистически,"Государственные финансы, бюджет и налоги",-1.0
2005,оппортунистически,Общеэкономическое,-1.0
2006,оппортунистически,"Международная экономика, торговля и финансы",-1.0
2007,оппортунистический,"Государственные финансы, бюджет и налоги",-1.0
2008,оппортунистический,Общеэкономическое,-1.0
2009,оппортунистический,"Международная экономика, торговля и финансы",-1.0
2010,оправдание,Общеэкономическое,-1.0
2011,оправданно,Общеэкономическое,1.0
2012,оправдательные приговоры,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2013,оправдательные приговоры,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2014,оправдывать,Общеэкономическое,0.0
2015,оправдывающее обстоятельство,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2016,оправдывающее обстоятельство,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2017,определение размера вознаграждения,"Государственные финансы, бюджет и налоги",1.0
2018,определимый,Общеэкономическое,1.0
2019,определённость,Общеэкономическое,1.0
2020,определённый,Общеэкономическое,1.0
2021,опрометчиво,Общеэкономическое,-1.0
2022,опрошенный,Общеэкономическое,0.0
2023,оптимистичный,Общеэкономическое,1.0
2024,оптимистичный,Маркетинг и реклама,1.0
2025,оптовая торговля,Потребление и розничная торговля,1.0
2026,оптовый рынок,"Международная экономика, торговля и финансы",0.0
2027,оптовый рынок,Фондовые и товарные рынки,0.0
2028,опустошение,Макроэкономика,-1.0
2029,опустошение,Общеэкономическое,-1.0
2030,опустошение,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
2031,опустошение,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2032,опустошение,"Государственные финансы, бюджет и налоги",-1.0
2033,опыт реализации проекта,Общеэкономическое,1.0
2034,опыт реализации проекта,Инновации,1.0
2035,опытность,Общеэкономическое,1.0
2036,опытный,Общеэкономическое,1.0
2037,орган,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2038,орган,"Государственные финансы, бюджет и налоги",0.0
2039,орган власти,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2040,орган власти,"Государственные финансы, бюджет и налоги",0.0
2041,орган исполнительный,"Международная экономика, торговля и финансы",0.0
2042,орган исполнительный,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2043,орган управления ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2044,организация,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2045,организация,Общеэкономическое,0.0
2046,освобождать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2047,освобождать,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2048,освобождение,Макроэкономика,1.0
2049,освобождение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2050,освобождение,Общеэкономическое,1.0
2051,освобождение от долга,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2052,освобождение от обязательств,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2053,оскорбительно,Общеэкономическое,-2.0
2054,оскорбительно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
2055,оскорбительность,Общеэкономическое,-2.0
2056,оскорбительный,Общеэкономическое,-2.0
2057,ослабление,Макроэкономика,-1.0
2058,ослабление,Общеэкономическое,-1.0
2059,ослабление,"Государственные финансы, бюджет и налоги",-1.0
2060,ослаблять,Общеэкономическое,-1.0
2061,осложнение,Общеэкономическое,-1.0
2062,осложнять,Общеэкономическое,-1.0
2063,основные средства,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2064,особое внимание,Общеэкономическое,1.0
2065,оспаривать,Общеэкономическое,-1.0
2066,останавливать,"Государственные финансы, бюджет и налоги",0.0
2067,останавливать,Общеэкономическое,0.0
2068,остановка,Общеэкономическое,-1.0
2069,остановка,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
2070,остановка,Фондовые и товарные рынки,-1.0
2071,остаток ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2072,осторожно,Общеэкономическое,1.0
2073,осторожность,Общеэкономическое,1.0
2074,осторожный,Общеэкономическое,1.0
2075,осуждать,Общеэкономическое,-1.0
2076,осуждение,Общеэкономическое,-1.0
2077,осуществимый,Общеэкономическое,1.0
2078,осуществление ,Инновации,1.0
2079,осуществлять,Инновации,1.0
2080,отвергать,Маркетинг и реклама,-1.0
2081,отвергать,Общеэкономическое,-1.0
2082,отвергать,"Государственные финансы, бюджет и налоги",-1.0
2083,отвергать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2084,ответный,Общеэкономическое,0.0
2085,ответственность,"Государственные финансы, бюджет и налоги",1.0
2086,ответственность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2087,ответственность,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2088,отвечать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2089,отвечать,Общеэкономическое,0.0
2090,отвлекать,Общеэкономическое,-1.0
2091,отвращение,Общеэкономическое,-2.0
2092,отговаривать,Общеэкономическое,0.0
2093,отдача,"Международная экономика, торговля и финансы",0.0
2094,отдельный вид отношений,Общеэкономическое,0.0
2095,отзыв,Общеэкономическое,0.0
2096,отказ,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2097,отказ,Общеэкономическое,-1.0
2098,отказ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
2099,отказ,"Государственные финансы, бюджет и налоги",-1.0
2100,отказ в подтверждении,Общеэкономическое,-1.0
2101,отказ от права,Общеэкономическое,-1.0
2102,отказывать,Общеэкономическое,-1.0
2103,откладывать,Общеэкономическое,-1.0
2104,отклонение,Общеэкономическое,-1.0
2105,отклонение,Фондовые и товарные рынки,-1.0
2106,отклонение,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2107,открывать,Фондовые и товарные рынки,1.0
2108,открывать,Инновации,1.0
2109,открываться со снижением индекса,Фондовые и товарные рынки,-1.0
2110,открытие,Инновации,1.0
2111,открытие торгов,Фондовые и товарные рынки,0.0
2112,открыто,Общеэкономическое,1.0
2113,открыто,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
2114,открыто,Фондовые и товарные рынки,1.0
2115,отличительный,Общеэкономическое,1.0
2116,отлично,Общеэкономическое,1.0
2117,отмена,Общеэкономическое,-1.0
2118,отменять,"Государственные финансы, бюджет и налоги",-1.0
2119,отменять,Общеэкономическое,-1.0
2120,отмечать,Маркетинг и реклама,1.0
2121,отмечать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2122,отмывание,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
2123,отмывание,"Международная экономика, торговля и финансы",-2.0
2124,отмывание,Общеэкономическое,-2.0
2125,отмывание,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
2126,отмывание ,"Государственные финансы, бюджет и налоги",-2.0
2127,отношение,"Международная экономика, торговля и финансы",0.0
2128,отозвана,Маркетинг и реклама,-2.0
2129,отозвана,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
2130,отозвана,Фондовые и товарные рынки,-2.0
2131,отозвать,Общеэкономическое,-2.0
2132,отрасль,Фондовые и товарные рынки,0.0
2133,отрасль,Макроэкономика,0.0
2134,отрекаться,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2135,отрекаться,Общеэкономическое,-1.0
2136,отрекаться,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
2137,отрицание,Общеэкономическое,-1.0
2138,отрицательный,Общеэкономическое,-1.0
2139,отрицательный,Макроэкономика,-1.0
2140,отрицать,Общеэкономическое,-1.0
2141,отсрочка,"Государственные финансы, бюджет и налоги",-1.0
2142,отсрочка,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2143,отсрочка,Общеэкономическое,-1.0
2144,отставать,Общеэкономическое,-1.0
2145,отставка,"Государственные финансы, бюджет и налоги",-2.0
2146,отставка,Общеэкономическое,-2.0
2147,отсутствие,Общеэкономическое,-1.0
2148,отсутствие достижений,Общеэкономическое,-1.0
2149,отсутствие на работе,Общеэкономическое,-1.0
2150,отток,Общеэкономическое,-1.0
2151,отходы,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2152,отчуждение,Общеэкономическое,-1.0
2153,отчуждение акций,Фондовые и товарные рынки,-1.0
2154,отчёт,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2155,отчёт о прибылях и убытках,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2156,отчёт о финансовом положении,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2157,отчёт об устойчивом развитии,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2158,отчёт совета директоров,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2159,отчётность,"Государственные финансы, бюджет и налоги",0.0
2160,отчётность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2161,отчётность,"Международная экономика, торговля и финансы",0.0
2162,отчётный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2163,отчётный,Общеэкономическое,0.0
2164,отягощение,Общеэкономическое,-1.0
2165,офз,"Государственные финансы, бюджет и налоги",0.0
2166,офз,Фондовые и товарные рынки,0.0
2167,офис ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2168,охотный,Общеэкономическое,1.0
2169,охрана водных ресурсов,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2170,охрана воздушных ресурсов,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2171,охрана окружающей среды,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2172,охрана окружающей среды,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2173,охрана труда,"Государственные финансы, бюджет и налоги",0.0
2174,охрана труда,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2175,охрана труда в промышленностии,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2176,охраняемая природная территория,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2177,оценивание,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2178,оценивать,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2179,оценивать,Общеэкономическое,0.0
2180,оценивать,Фондовые и товарные рынки,0.0
2181,оценивать справедливую стоимость,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2182,оценка,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2183,оценка проекта,Инновации,0.0
2184,оценка эффективности,Общеэкономическое,0.0
2185,оцифровка,Инновации,0.0
2186,очистка,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2187,очистка сточных вод,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2188,очистка территории,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2189,очистное сооружение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2190,ошеломляющий,Общеэкономическое,2.0
2191,ошибаться,Общеэкономическое,-1.0
2192,ошибка,Общеэкономическое,-1.0
2193,ошибочно,Общеэкономическое,-1.0
2194,ошибочное толкование,Маркетинг и реклама,-1.0
2195,оштрафованный,"Международная экономика, торговля и финансы",-1.0
2196,оштрафованный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
2197,оштрафованный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2198,оштрафованный,Общеэкономическое,-1.0
2199,пагубный,Общеэкономическое,-2.0
2200,падение,Общеэкономическое,-2.0
2201,падение мировой экономики,Макроэкономика,-2.0
2202,падение цены нефти,Макроэкономика,-1.0
2203,паевой,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2204,паевой взнос,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2205,паевой фонд,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2206,пакет акции,"Международная экономика, торговля и финансы",0.0
2207,пакет акции,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2208,пакет акции,Фондовые и товарные рынки,0.0
2209,пакт,"Международная экономика, торговля и финансы",0.0
2210,пакт,Макроэкономика,0.0
2211,пакт,"Государственные финансы, бюджет и налоги",0.0
2212,паника,Общеэкономическое,-2.0
2213,паника,Макроэкономика,-2.0
2214,паника,Фондовые и товарные рынки,-2.0
2215,парниковый газ,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
2216,парниковый газ,"Реальный сектор экономики (производство, промышленность, добыча)",-2.0
2217,партнёрство,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2218,партнёрство,"Международная экономика, торговля и финансы",1.0
2219,пассажир,Маркетинг и реклама,0.0
2220,пассажир,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2221,пассив,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2222,патент,Инновации,1.0
2223,патентоспособность,Инновации,1.0
2224,патентоспособный,Инновации,1.0
2225,пенсионный,"Государственные финансы, бюджет и налоги",0.0
2226,пенсионный,Макроэкономика,0.0
2227,первая минута торгов,Фондовые и товарные рынки,0.0
2228,первичная акция,Фондовые и товарные рынки,0.0
2229,первичный взнос по кредиту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2230,первичный рынок,Фондовые и товарные рынки,0.0
2231,переадресовывать,Общеэкономическое,0.0
2232,перевод,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2233,перевод на карту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2234,перевод с карты,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2235,переворот,"Государственные финансы, бюджет и налоги",-2.0
2236,переворот,Общеэкономическое,-2.0
2237,переворот,"Монетарная политика, валюта, деньги и кредит, банки",-2.0
2238,перегружать,"Международная экономика, торговля и финансы",-1.0
2239,перегрузка,Общеэкономическое,-1.0
2240,передавать,Общеэкономическое,0.0
2241,передача,Общеэкономическое,0.0
2242,передача электроэнергии,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
2243,перезарядка,Общеэкономическое,0.0
2244,переизбыток предложения,Потребление и розничная торговля,-1.0
2245,переизбыток предложения,Фондовые и товарные рынки,-1.0
2246,переизбыток предложения,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2247,переизбыток предложения,Общеэкономическое,-1.0
2248,перемещать,Общеэкономическое,0.0
2249,перемещение,Общеэкономическое,0.0
2250,переназначение,Общеэкономическое,0.0
2251,переназначить,Общеэкономическое,0.0
2252,переплата,Общеэкономическое,-1.0
2253,переплата,"Государственные финансы, бюджет и налоги",-1.0
2254,переплата,"Международная экономика, торговля и финансы",-1.0
2255,переплата,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2256,перепродажа,Потребление и розничная торговля,0.0
2257,перепроизведенный,Инновации,0.0
2258,перепроизводство,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
2259,перепроизводство,Инновации,0.0
2260,переработка,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2261,переработка,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
2262,переработка отходов,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2263,перерасход,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2264,перерасход,Общеэкономическое,-1.0
2265,перерасход,Макроэкономика,-1.0
2266,перерасход,"Государственные финансы, бюджет и налоги",-1.0
2267,перерыв,"Международная экономика, торговля и финансы",0.0
2268,перерыв,Общеэкономическое,0.0
2269,перерыв в работе,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
2270,перерыв в работе,Общеэкономическое,-1.0
2271,пересматривать,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2272,пересматривать,Общеэкономическое,0.0
2273,пересмотр,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2274,пересмотр,Общеэкономическое,0.0
2275,перестать,"Государственные финансы, бюджет и налоги",-1.0
2276,перестать,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2277,перестать,Общеэкономическое,-1.0
2278,перехитрить,Общеэкономическое,-1.0
2279,период засухи,Макроэкономика,-1.0
2280,период засухи,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
2281,период засухи,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2282,персонал,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2283,персонал,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2284,перспектива развития,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
2285,перспектива развития,"Государственные финансы, бюджет и налоги",1.0
2286,перспектива развития,Инновации,1.0
2287,перспектива развития,"Монетарная политика, валюта, деньги и кредит, банки",1.0
2288,перспектива развития,Макроэкономика,1.0
2289,перспектива развития,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2290,петиция,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2291,пикет,Общеэкономическое,-1.0
2292,плавающая процентная ставка,"Государственные финансы, бюджет и налоги",0.0
2293,плавающая процентная ставка,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2294,план,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
2295,план мероприятия,Общеэкономическое,0.0
2296,плата,"Международная экономика, торговля и финансы",0.0
2297,плата,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2298,плата,Общеэкономическое,0.0
2299,плата,"Государственные финансы, бюджет и налоги",0.0
2300,платёж,"Государственные финансы, бюджет и налоги",0.0
2301,платёж,Потребление и розничная торговля,0.0
2302,платёж,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2303,платёж,"Международная экономика, торговля и финансы",0.0
2304,платёж,Общеэкономическое,0.0
2305,платёж,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2306,платёж по кредиту,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
2307,платёж по кредиту,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2308,платёжеспособность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
2309,платёжеспособность,Общеэкономическое,1.0
2310,платёжеспособность,Макроэкономика,1.0
2311,платёжеспособность ,"Монетарная политика, валюта, деньги и кредит, банки",1.0
2312,платёжеспособный,"Монетарная политика, валюта, деньги и кредит, банки",1.0
2313,платёжная система,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2314,платёжный,Общеэкономическое,0.0
2315,платёжный ,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2316,платёжный баланс,"Международная экономика, торговля и финансы",0.0
2317,платёжный баланс,"Монетарная политика, валюта, деньги и кредит, банки",0.0
2318,плохо,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
2319,плохо,Макроэкономика,-1.0
2320,плохо,"Государственные финансы, бюджет и налоги",-1.0
2321,плохо,Общеэкономическое,-1.0
2322,плохо,"Международная экономика, торговля и финансы",-1.0
2323,плохо,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
2324,плохо,Маркетинг и реклама,-1.0
2325,плохое управление,"Государственные финансы, бюджет и налоги",-1.0
2326,плохое управление,Общеэкономическое,-1.0
2327,плохое управление,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
2328,плохой,Общеэкономическое,-1.0
